Actual,Predicted
143.4250946044922,143.27068889878964
76.9596176147461,77.46250684126483
59.547000885009766,60.00648080748506
58.277225494384766,58.46756480598937
167.98501586914062,167.43039737994033
151.42030334472656,152.10984083060742
182.3212127685547,183.56690009136926
154.32086181640625,157.7220659346785
222.80648803710938,222.84057721267757
182.0341033935547,182.8457517460195
149.9949951171875,150.00923944836737
167.4404754638672,169.3348486393092
117.08553314208984,117.83460957521773
188.09066772460938,185.9973746444718
169.15330505371094,170.17004298716623
121.9024658203125,121.97084088852927
188.50624084472656,188.6687615123981
171.99481201171875,169.85282716790928
141.3195037841797,144.48612425390107
192.90562438964844,193.4660007018568
185.90565490722656,185.50437909625222
145.80538940429688,144.56625681212435
115.8300552368164,114.71810830573725
138.87225341796875,138.0450004311676
207.47279357910156,219.07363148390658
168.63845825195312,172.68679034065443
228.56007385253906,228.04900506640934
127.17887878417969,125.01686772484229
244.9251708984375,245.40376941152573
69.7728500366211,71.62543578139389
168.43055725097656,174.10298475467695
128.3907012939453,129.22842520877276
142.98959350585938,142.80905073595594
149.57894897460938,152.58983323826376
151.513427734375,148.02889485167557
168.5574493408203,169.68701075487084
117.34602355957031,118.97003177919225
117.83256530761719,116.43025689192933
167.69790649414062,173.34155903751267
117.46380615234375,118.02960686264049
220.35809326171875,220.72221909161473
136.19593811035156,134.06797861904082
230.4226837158203,229.65164107000768
88.3023910522461,86.39813915955492
190.88925170898438,192.58934013217197
224.80479431152344,225.09218218860946
128.2185516357422,135.69392572827158
78.3209457397461,77.99934983308626
178.4522705078125,176.58156042915368
223.9909210205078,223.95426964348943
166.52093505859375,158.1388983202238
123.01050567626953,126.30928245360226
142.58555603027344,144.97717873256457
185.47972106933594,186.38851474020973
118.78386688232422,120.00122307431917
124.59432983398438,124.62830667099234
111.85736846923828,110.7220750573797
108.63705444335938,114.49798461097201
231.266357421875,226.91676048154426
133.80416870117188,133.3545147698018
173.880126953125,173.3382219121495
119.24356079101562,118.51757808030366
144.59658813476562,146.9483893060356
70.92432403564453,69.41251251452607
59.8053092956543,60.72256473631683
225.15219116210938,225.18154034619974
149.3846435546875,149.9100539259843
68.35824584960938,67.7313462888917
143.469970703125,139.6860807720128
58.47034454345703,64.32133888982085
225.78741455078125,221.8161655999398
66.39319610595703,66.65651118865705
189.5840301513672,191.73071330924452
151.65032958984375,147.74856224089365
170.62905883789062,173.23801972929218
137.59786987304688,137.08913096331028
183.7698516845703,183.0863723295133
135.84524536132812,135.4202548358479
145.2506103515625,144.88176731930298
246.3858184814453,246.91621907001618
127.92359924316406,131.9272193651037
123.69601440429688,123.76862431229276
168.0349884033203,168.76091537105233
117.9493179321289,117.14828615742108
170.24610900878906,170.2721189999094
145.54824829101562,141.3287859625593
138.8140106201172,142.93383787397417
162.24977111816406,167.5585865650518
174.44300842285156,174.28586881599796
146.30685424804688,149.204567047377
153.30328369140625,157.5190681164916
183.48306274414062,179.84906666195965
139.83294677734375,146.02047459204533
178.44830322265625,176.02982607120424
64.25436401367188,68.98047488982178
111.45726013183594,111.55245283885465
117.28763580322266,121.0396017522506
78.44408416748047,78.73071599150914
78.1230239868164,76.73996353345743
132.3511962890625,132.6240277533706
185.45997619628906,184.37263540161067
168.74954223632812,170.6177916939404
152.46511840820312,155.28219216691767
73.32390594482422,72.96262487838182
132.76486206054688,130.52178589284003
141.55747985839844,138.67552380017756
142.07862854003906,140.85455342573172
146.06088256835938,145.55965159726804
137.75335693359375,137.68039243939046
174.79669189453125,169.20793600325112
173.29747009277344,176.12782730301322
170.87142944335938,162.7337216509895
92.31324005126953,91.21043204055607
222.85935974121094,225.02641324774888
119.59032440185547,118.33355464586653
170.3941192626953,166.08621737689862
127.45452117919922,128.95280270873909
174.6718292236328,170.19291947373208
118.67914581298828,118.14144553246925
149.29759216308594,152.43342928379283
68.66240692138672,68.39195003705197
193.6974639892578,195.57015731594683
178.95498657226562,180.3706512695173
85.22342681884766,81.94627427251446
149.5495147705078,145.39304804597745
154.1848602294922,157.79462328210076
145.41659545898438,144.5791142299275
144.6649169921875,142.65769345453091
122.72125244140625,121.87242733452898
156.2068328857422,155.64785825770596
251.8707733154297,247.5671895350948
118.86404418945312,116.88902256963173
80.71630859375,79.27077581195911
176.9907684326172,172.85855042757353
195.89260864257812,193.99787038976532
162.54701232910156,159.79289055467586
160.1844024658203,153.9773687648674
150.40504455566406,152.56723115375408
111.62457275390625,111.50507305961109
174.3313751220703,174.10065886166294
180.62481689453125,186.5147965857335
136.3361053466797,146.26814187472863
227.16708374023438,217.82519360863176
183.20236206054688,186.34344982282008
140.10743713378906,136.35322789564162
225.85691833496094,226.64938175209815
159.5089111328125,156.03325744407996
222.2547149658203,227.389672164467
191.01780700683594,192.67018974067898
135.12696838378906,132.1162573324444
157.66847229003906,159.57341962749715
54.163692474365234,58.60162035644095
187.3299560546875,187.1092665611197
171.4903564453125,170.3579823041189
59.26939010620117,58.01791021837191
85.40739440917969,81.79628900089851
169.1612548828125,170.450424115085
155.43295288085938,155.63015697086215
116.75241088867188,117.01426919046659
219.26632690429688,221.52456732819056
122.47423553466797,124.63838387078665
175.953857421875,173.65652666193685
139.6234588623047,140.3317769172352
143.6170196533203,152.24966650178305
164.46128845214844,164.68713050186747
152.95594787597656,153.9873888926629
185.93533325195312,189.36471022186655
117.99799346923828,120.82585181068507
143.49459838867188,141.0354439519314
121.81475830078125,120.60374134210801
147.36904907226562,147.44589687321564
151.69940185546875,155.73876678084576
152.96273803710938,150.46094726224229
152.97091674804688,150.23303995834576
144.18289184570312,144.39022084735163
182.3634033203125,182.43401432327678
130.55096435546875,130.83721981554982
105.59133911132812,110.69565162523293
156.8609619140625,153.59546867515306
117.3280029296875,121.80678642686232
122.61048126220703,126.72562385371889
221.06285095214844,220.85167589080237
161.8991241455078,163.36065038694596
130.70668029785156,129.59804859295997
184.41464233398438,182.0050976714841
146.4513702392578,145.57499132095174
161.36880493164062,152.75799744276802
145.70945739746094,144.35463524932717
176.37733459472656,182.57479791912797
105.50401306152344,107.18307841368224
160.85000610351562,165.53639136287234
145.17120361328125,146.17595796603038
175.56875610351562,177.0555973208207
134.43141174316406,143.29222560958445
187.0929412841797,186.02524342527587
76.76034545898438,75.93628348911588
106.18070220947266,105.88304554912756
162.1592254638672,161.66252264215058
211.2401580810547,196.58569998106077
171.71218872070312,167.7008597171182
170.96002197265625,170.88909239822783
230.055419921875,232.90371204478322
159.44041442871094,162.0505092797237
216.92095947265625,215.68235553613985
121.54181671142578,123.26317103138493
124.35232543945312,119.81476979448428
226.71607971191406,224.29901478283458
184.76853942871094,184.32209998982188
161.0852508544922,158.3631331339133
140.8516387939453,140.32730208023935
116.88916015625,115.94807443841023
176.1612548828125,175.28010122978972
219.20675659179688,224.75595210026728
93.26695251464844,93.88857378636635
124.25423431396484,119.34884241729382
161.6331329345703,160.07988319637886
193.7340087890625,192.68333115537584
126.86396789550781,127.02231035733708
208.01805114746094,203.9079293601109
181.40679931640625,180.84293117804233
142.67588806152344,142.6687322842746
112.23323059082031,111.65101424137768
89.67241668701172,92.58999362601331
175.35150146484375,169.90857766181753
166.11830139160156,167.2946442934506
145.34825134277344,142.9396187505326
183.56219482421875,191.42286928174897
171.3116455078125,169.05169591741426
188.26890563964844,187.95343323275873
169.03346252441406,170.9805624412766
62.62731170654297,61.728166313275636
143.09356689453125,142.04752440847352
127.97794342041016,125.26358755804648
123.08192443847656,123.78102547295799
171.80996704101562,172.76970847916496
246.197021484375,242.22566385910213
179.8739471435547,182.68573081419612
76.69573974609375,77.22994442819277
108.90866088867188,103.87068129062932
118.1536865234375,118.29339879388287
128.22828674316406,128.35274083902897
122.72348022460938,120.75950510349868
171.0303497314453,168.41282957988417
224.71548461914062,224.64303291352437
116.00493621826172,116.291263930902
163.27206420898438,166.89004338180345
77.32154846191406,77.99508163530268
111.16626739501953,111.10728278778898
167.3518829345703,162.0112147687378
143.6394500732422,142.79758506752577
123.06880950927734,125.4843183238645
142.76609802246094,142.46298746889988
