Actual,Predicted
143.4251251220703,143.27064411821542
76.95960235595703,77.46250725669483
59.5469970703125,60.00648035555933
58.2772331237793,58.46756478247987
167.98500061035156,167.4304136480307
151.42031860351562,152.10981074461142
182.32119750976562,183.56690024884426
154.32086181640625,157.72201978122095
222.80648803710938,222.84057690929393
182.0341033935547,182.84573671188838
149.99501037597656,150.009224381495
167.44049072265625,169.3348327981675
117.08551025390625,117.8345858227317
188.0906524658203,185.99735962987157
169.1533203125,170.17004304901508
121.90247344970703,121.97086501710251
188.50621032714844,188.66874665984855
171.99481201171875,169.8528410374832
141.31951904296875,144.48615470158373
192.90562438964844,193.46598591681507
185.9056396484375,185.5043791187971
145.8053741455078,144.56624189233077
115.83004760742188,114.71808596026437
138.87229919433594,138.04504604581007
207.4727783203125,219.07361429902258
168.63848876953125,172.68679042649106
228.5601043701172,228.04901944565762
127.17890167236328,125.0168758000073
244.92515563964844,245.4037687582417
69.77285766601562,71.62544259541578
168.4305419921875,174.10296918399385
128.3907012939453,129.22838085849227
142.98963928222656,142.8090515925494
149.57896423339844,152.58983323716427
151.51341247558594,148.02889574500912
168.5574951171875,169.6870109379367
117.34600067138672,118.9700247492585
117.83256530761719,116.43026374582607
167.69790649414062,173.34155896963202
117.46381378173828,118.02958874316118
220.35812377929688,220.72220304000734
136.1959686279297,134.06797872720705
230.4226837158203,229.65165602187724
88.3023910522461,86.39813945987194
190.88926696777344,192.5893406027439
224.80479431152344,225.0921971318631
128.2185821533203,135.69390916945412
78.32096099853516,77.99935826157324
178.4522705078125,176.58154584290307
223.99090576171875,223.95425441164286
166.5209197998047,158.13888185807798
123.01050567626953,126.30926014098597
142.5855712890625,144.97717941506352
185.479736328125,186.38851474868417
118.78385925292969,120.00120111298918
124.59429931640625,124.62833534225862
111.85737609863281,110.72207449069121
108.63705444335938,114.49797505579005
231.26634216308594,226.91676029919068
133.80416870117188,133.35453100557118
173.88009643554688,173.3382375580459
119.24353790283203,118.51757068282673
144.59658813476562,146.94837374225
70.92435455322266,69.4125130050827
59.805301666259766,60.72255872234635
225.15219116210938,225.1815553279979
149.3846435546875,149.91006909312682
68.35823059082031,67.73134710573976
143.46994018554688,139.68609656514215
58.470340728759766,64.3213188145293
225.78741455078125,221.81618026292517
66.39321899414062,66.65654257011208
189.58401489257812,191.73072893503382
151.65029907226562,147.7485452089118
170.62901306152344,173.23803431406606
137.5978546142578,137.08913051611052
183.76983642578125,183.08637227859032
135.8452606201172,135.42025454144232
145.2506103515625,144.88178274676565
246.38584899902344,246.9162028196838
127.92359924316406,131.92723360348995
123.69601440429688,123.76861798868066
168.0349884033203,168.76096080605052
117.94931030273438,117.14826387875348
170.24606323242188,170.27213464869783
145.54824829101562,141.3287866403345
138.8140106201172,142.93380792458288
162.24981689453125,167.5585865415876
174.4429931640625,174.28586862834635
146.30685424804688,149.20458244765624
153.30325317382812,157.5190231023823
183.4830780029297,179.84905147409125
139.83297729492188,146.02044501356974
178.44830322265625,176.02979591055436
64.25439453125,68.98048057086251
111.45726776123047,111.55247333557075
117.28762817382812,121.03957149703284
78.4440689086914,78.73072500338952
78.12300109863281,76.73996346905173
132.35121154785156,132.62407400130655
185.45999145507812,184.37265111338587
168.7495880126953,170.61777591383944
152.46511840820312,155.28219120279056
73.32390594482422,72.96261753870871
132.7648468017578,130.52180168916706
141.5574951171875,138.67549445451775
142.07862854003906,140.85456930322627
146.0608673095703,145.55963733291384
137.75335693359375,137.68036166687338
174.7967071533203,169.20796527154826
173.29750061035156,176.1278277420874
170.8714141845703,162.73370415726868
92.31324768066406,91.21043271398645
222.859375,225.02639784534205
119.59033203125,118.33357696282118
170.3941192626953,166.08620165879267
127.45455169677734,128.95281660866027
174.67184448242188,170.1928738181289
118.67916107177734,118.14145333072267
149.29757690429688,152.43344459824155
68.66239166259766,68.39197150030334
193.6974639892578,195.5701553361377
178.95497131347656,180.37063641768282
85.22340393066406,81.946281942973
149.54949951171875,145.39301837810703
154.1848907470703,157.7946064156315
145.41659545898438,144.57914350694728
144.6649169921875,142.657723982073
122.72128295898438,121.8724283246737
156.20684814453125,155.64784126123433
